,UHM516.10416_Frog_Lithobates_clamitans_cluster12,UHM148.10186_Salamander_Desmognathus_fuscus_cluster7,UHM312.10291_Salamander_Eurycea_longicauda_cluster7,UHM425.10329_Salamander_Desmognathus_imitator_singleton,UHM382.10313_Salamander_Plethodon_jordani_cluster3,UHM187.10219_Frog_Acris_crepitans_cluster21,UHM69.10185_Frog_Lithobates_sylvaticus_cluster21,UHM17.10163_Frog_Lithobates_sylvaticus_cluster21,UHM48.10177_Frog_Lithobates_sylvaticus_cluster21,UHM520.10428_Frog_Lithobates_sylvaticus_cluster5,UHM245.10245_Frog_Anaxyrus_americanus_cluster21,UHM280.10268_Salamander_Eurycea_cirrigera_cluster21,UHM241.10242_Salamander_Eurycea_longicauda_cluster_9,UHM242.10243_Salamander_Eurycea_longicauda_singleton,UHM249.10252_Salamander_Desmognathus_sp_cluster21,STP1710.7_Salamander_Plethodon_serratus_cluster5,UHM207.10231_Lizard_Plestiodon_fasciatus_cluster21,UHM490.10360_Frog_Lithobates_sylvaticus_cluster21,STP1711.2_Salamander_Desmognathus_ocoee_cluster_9,UHM500.10383_Frog_Lithobates_sylvaticus_cluster21,UHM203.10228_Salamander_Plethodon_dorsalis_cluster21,STP1711.3_Salamander_Desmognathus_ocoee_cluster21,UHM500.10386_Frog_Lithobates_sylvaticus_cluster_9,UHM228.10233_Frog_Lithobates_clamitans_cluster21,UHM514.10415_Frog_Lithobates_clamitans_cluster15,UHM512.10412_Frog_Lithobates_sylvaticus_cluster15,UHM241.10241_Salamander_Eurycea_longicauda_cluster15,UHM246.10249_Salamander_Eurycea_longicauda_cluster8,UHM516.10422_Frog_Lithobates_clamitans_cluster14,UHM229.10235_Frog_Acris_crepitans_cluster14,UHM246.10248_Salamander_Eurycea_longicauda_singleton,UHM229.10237_Frog_Acris_crepitans_singleton,UHM338.10299_Salamander_Desmognathus_fuscus_singleton,UHM269.10257_Salamander_Desmognathus_fuscus_cluster20,UHM272.10260_Salamander_Desmognathus_fuscus_cluster20,UHM295.10282_Salamander_Desmognathus_fuscus_cluster20,UHM289.10274_Salamander_Desmognathus_fuscus_cluster20,UHM170.10205_Salamander_Desmognathus_fuscus_cluster20,UHM162.10195_Salamander_Desmognathus_fuscus_singleton,UHM3.10154_Salamander_Desmognathus_quadramaculatus_cluster20,UHM342.10302_Salamander_Desmognathus_fuscus_cluster20,UHM1.10153_Salamander_Aneides_aeneus_cluster20,UHM518.10425_Frog_Lithobates_clamitans_cluster20,UHM182.10209_Salamander_Desmognathus_fuscus_cluster20,UHM160.10194_Salamander_Desmognathus_fuscus_cluster20,UHM295.10283_Salamander_Desmognathus_fuscus_singleton,UHM274.10266_Salamander_Desmognathus_fuscus_singleton,UHM298.10285_Salamander_Desmognathus_fuscus_cluster18,UHM151.10187_Salamander_Desmognathus_fuscus_cluster18,UHM182.10210_Salamander_Desmognathus_fuscus_cluster11,UHM182.10212_Salamander_Desmognathus_fuscus_singleton,UHM415.10325_Salamander_Plethodon_jordani_cluster11,UHM390.10318_Salamander_Plethodon_jordani_cluster13,UHM414.10322_Salamander_Desmognathus_ochrophaeus_cluster13,UHM453.10334_Salamander_Desmognathus_fuscus_cluster17,UHM414.10320_Salamander_Desmognathus_ochrophaeus_cluster17,UHM462.10339_Salamander_Plethodon_jordani_cluster17,UHM388.10315_Salamander_Plethodon_jordani_cluster17,UHM14.10160_Frog_Lithobates_sylvaticus_cluster13,STP1718.1_Salamander_Plethodon_serratus_cluster16,STP1717.1_Salamander_Eurycea_longicauda_cluster16,UHM47.10176_Frog_Lithobates_sylvaticus_cluster16,UHM28.10171_Frog_Lithobates_sylvaticus_cluster16,UHM462.10338_Salamander_Plethodon_jordani_singleton,UHM291.10277_Salamander_Desmognathus_fuscus_cluster19,STP1721.2_Salamander_Plethodon_serratus_cluster19,STP1722.2_Salamander_Plethodon_serratus_cluster19,STP1715.1_Salamander_Eurycea_cirrigera_cluster19,UHM428.10332_Salamander_Hemidactylium_scutatum_cluster19,STP1716.1_Salamander_Plethodon_serratus_cluster19,STP1720.1_Salamander_Plethodon_serratus_cluster19,UHM415.10324_Salamander_Plethodon_jordani_cluster19,UHM373.10311_Salamander_Plethodon_jordani_cluster19
UHM245.10245_Frog_Anaxyrus_americanus_cluster21,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UHM280.10268_Salamander_Eurycea_cirrigera_cluster21,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UHM241.10242_Salamander_Eurycea_longicauda_cluster_9,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UHM242.10243_Salamander_Eurycea_longicauda_singleton,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UHM249.10252_Salamander_Desmognathus_sp_cluster21,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
STP1710.7_Salamander_Plethodon_serratus_cluster5,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UHM207.10231_Lizard_Plestiodon_fasciatus_cluster21,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UHM490.10360_Frog_Lithobates_sylvaticus_cluster21,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
STP1711.2_Salamander_Desmognathus_ocoee_cluster_9,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UHM500.10383_Frog_Lithobates_sylvaticus_cluster21,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UHM203.10228_Salamander_Plethodon_dorsalis_cluster21,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
STP1711.3_Salamander_Desmognathus_ocoee_cluster21,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UHM500.10386_Frog_Lithobates_sylvaticus_cluster_9,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UHM228.10233_Frog_Lithobates_clamitans_cluster21,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UHM514.10415_Frog_Lithobates_clamitans_cluster15,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UHM512.10412_Frog_Lithobates_sylvaticus_cluster15,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0,0.1,0.1,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UHM241.10241_Salamander_Eurycea_longicauda_cluster15,0.3,0.1,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UHM246.10249_Salamander_Eurycea_longicauda_cluster8,0.3,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UHM516.10422_Frog_Lithobates_clamitans_cluster14,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
UHM229.10235_Frog_Acris_crepitans_cluster14,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
